# lat,lng,id,name,building_type,type,url,page_type
# mondragone -- Tutti
41.114266,13.900996,ov_qui_si_pizza_41.1143_13.9010,Qui Si Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/qui_si_pizza_41.1143_13.9010.json,custom
41.116293,13.904457,ov_la_delizia_41.1163_13.9045,La Delizia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/la_delizia_41.1163_13.9045.json,custom
41.118521,13.901678,ov_arte_pizza_41.1185_13.9017,Arte Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/arte_pizza_41.1185_13.9017.json,custom
41.117551,13.897851,ov_pizzeria_europa_41.1176_13.8979,Pizzeria Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_europa_41.1176_13.8979.json,custom
41.115682,13.897277,ov_acquolina_bar___pokeria_41.1157_13.8973,Acquolina Bar & Pokeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/acquolina_bar_pokeria_41.1157_13.8973.json,custom
41.114855,13.894617,ov_la_casa_del_caff__dal_1964_41.1149_13.8946,La Casa del Caffè dal 1964,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/la_casa_del_caff_dal_1964_41.1149_13.8946.json,custom
41.117942,13.895620,ov_l_angolo_della_pizza_valenza_giuseppe_41.1179_13.8956,L’angolo della pizza Valenza giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/langolo_della_pizza_valenza_giuseppe_41.1179_13.8956.json,custom
41.117934,13.893158,ov_romano_marcello_41.1179_13.8932,Romano Marcello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/romano_marcello_41.1179_13.8932.json,custom
41.124279,13.894984,ov_villa_petrinum_41.1243_13.8950,Villa Petrinum,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/villa_petrinum_41.1243_13.8950.json,custom
41.118483,13.907449,ov_ristorante_pizzeria_dafne_41.1185_13.9074,Ristorante Pizzeria DAFNE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/ristorante_pizzeria_dafne_41.1185_13.9074.json,custom
41.118006,13.907066,ov_pizzeria_accurso_41.1180_13.9071,Pizzeria Accurso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_accurso_41.1180_13.9071.json,custom
41.114763,13.906768,ov_la_casereccia_41.1148_13.9068,La Casereccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/la_casereccia_41.1148_13.9068.json,custom
41.114260,13.910910,ov_lunatenuta_41.1143_13.9109,Lunatenuta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/lunatenuta_41.1143_13.9109.json,custom
41.114537,13.908906,ov_il_geco_pub___pizzeria_41.1145_13.9089,Il Geco Pub & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/il_geco_pub_pizzeria_41.1145_13.9089.json,custom
