# lat,lng,id,name,building_type,type,url,page_type
# Sansepolcro -- Tutti
43.573917,12.138312,ov_bar_in_casa_43.5739_12.1383,Bar In Casa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/bar_in_casa_43.5739_12.1383.json,custom
43.573100,12.134420,ov_bar_spritz_43.5731_12.1344,Bar Spritz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/bar_spritz_43.5731_12.1344.json,custom
43.571277,12.130257,ov_bar_tabacchi_little_bar_tanfi_43.5713_12.1303,Bar Tabacchi Little Bar Tanfi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/bar_tabacchi_little_bar_tanfi_43.5713_12.1303.json,custom
43.571940,12.126220,ov_nuova_bar_bocciodromo_43.5719_12.1262,nuova bar Bocciodromo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/nuova_bar_bocciodromo_43.5719_12.1262.json,custom
43.571273,12.127678,ov_ilcircolino05_43.5713_12.1277,Ilcircolino05,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/ilcircolino05_43.5713_12.1277.json,custom
43.571551,12.127138,ov_moove_bar_e_pizzeria_43.5716_12.1271,Moove bar e Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/moove_bar_e_pizzeria_43.5716_12.1271.json,custom
43.571478,12.130082,ov_drinks_43.5715_12.1301,Drinks,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/drinks_43.5715_12.1301.json,custom
43.570983,12.141341,ov_caff__le_logge_43.5710_12.1413,Caffè Le Logge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/caff_le_logge_43.5710_12.1413.json,custom
43.570794,12.140541,ov_daily_43.5708_12.1405,DAILY,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/daily_43.5708_12.1405.json,custom
43.571731,12.139596,ov_saletta_gerasmo_43.5717_12.1396,Saletta Gerasmo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/saletta_gerasmo_43.5717_12.1396.json,custom
43.572210,12.140127,ov_ottimi_vini_43.5722_12.1401,Ottimi Vini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/ottimi_vini_43.5722_12.1401.json,custom
43.571867,12.139701,ov_caff__gerasmo_43.5719_12.1397,Caffè Gerasmo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/caff_gerasmo_43.5719_12.1397.json,custom
43.571667,12.144964,ov_red_line_di_giordano_nancy_43.5717_12.1450,Red Line Di Giordano Nancy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/red_line_di_giordano_nancy_43.5717_12.1450.json,custom
43.565950,12.154510,ov_bar_dei_71_43.5660_12.1545,Bar Dei 71,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/bar_dei_71_43.5660_12.1545.json,custom
43.569424,12.144356,ov_stardust_di_salerno_ermanno_43.5694_12.1444,Stardust Di Salerno Ermanno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/stardust_di_salerno_ermanno_43.5694_12.1444.json,custom
43.569987,12.143077,ov_caffe_delle_stanze_43.5700_12.1431,Caffe delle Stanze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/caffe_delle_stanze_43.5700_12.1431.json,custom
43.570164,12.141236,ov_happy_bar_43.5702_12.1412,Happy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/happy_bar_43.5702_12.1412.json,custom
43.570265,12.141932,ov_casa_del_caffe_43.5703_12.1419,Casa del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/casa_del_caffe_43.5703_12.1419.json,custom
43.568832,12.145086,ov_pizzeria_mengrigi_i_mengrigi_sas_43.5688_12.1451,Pizzeria Mengrigi I Mengrigi Sas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/pizzeria_mengrigi_i_mengrigi_sas_43.5688_12.1451.json,custom
43.569555,12.126441,ov_bar_santioni_43.5696_12.1264,Bar Santioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/bar_santioni_43.5696_12.1264.json,custom
43.569981,12.143061,osm_caff__delle_stanze_43.5700_12.1431,Caffé delle Stanze,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/caff_delle_stanze_43.5700_12.1431.json,custom
43.569330,12.140310,osm_il_pubbone_43.5693_12.1403,Il Pubbone,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/il_pubbone_43.5693_12.1403.json,custom
43.545452,12.147174,ov_ranch_mulando_horses_mules_43.5455_12.1472,Ranch MULANDO Horses&Mules,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/ranch_mulando_horsesmules_43.5455_12.1472.json,custom
43.575690,12.131380,ov_silvia_zerbarini_43.5757_12.1314,Silvia Zerbarini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/silvia_zerbarini_43.5757_12.1314.json,custom
43.575936,12.140602,ov_tedamis_43.5759_12.1406,Tedamis,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/tedamis_43.5759_12.1406.json,custom
43.572562,12.146209,ov_alterego_s_s_d__arl_43.5726_12.1462,Alterego S.S.D. arl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/alterego_ssd_arl_43.5726_12.1462.json,custom
