# lat,lng,id,name,building_type,type,url,page_type
# Bernalda -- Tutti
40.410641,16.686946,ov_beefire_40.4106_16.6869,Beefire,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/beefire_40.4106_16.6869.json,custom
40.407491,16.688469,ov_palestra_sportime_asd_40.4075_16.6885,Palestra Sportime ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/palestra_sportime_asd_40.4075_16.6885.json,custom
40.407185,16.692199,ov_palagalilei_40.4072_16.6922,Palagalilei,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/palagalilei_40.4072_16.6922.json,custom
40.420040,16.703613,ov_centro_sspa_40.4200_16.7036,Centro SSPA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/centro_sspa_40.4200_16.7036.json,custom
40.416056,16.692941,ov_palazzetto_dello_sport_palacampagna_40.4161_16.6929,Palazzetto dello Sport Palacampagna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/palazzetto_dello_sport_palacampagna_40.4161_16.6929.json,custom
40.426271,16.671281,ov_fattoria_sportiva_mastrangelo_40.4263_16.6713,Fattoria Sportiva Mastrangelo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/fattoria_sportiva_mastrangelo_40.4263_16.6713.json,custom
40.415930,16.816798,ov_temple_of_hera_40.4159_16.8168,Temple of Hera,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/temple_of_hera_40.4159_16.8168.json,custom
40.410948,16.813410,ov_museo_archeologico_metaponto_40.4109_16.8134,Museo Archeologico Metaponto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/museo_archeologico_metaponto_40.4109_16.8134.json,custom
40.405778,16.809295,ov_goodit_40.4058_16.8093,Goodit,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/goodit_40.4058_16.8093.json,custom
40.373556,16.807418,ov_museo_archeologico_nazionale_di_metapont_40.3736_16.8074,Museo Archeologico Nazionale di Metaponto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/museo_archeologico_nazionale_di_metapont_40.3736_16.8074.json,custom
40.404681,16.687192,ov_casa_museo_contadina_40.4047_16.6872,Casa Museo Contadina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/casa_museo_contadina_40.4047_16.6872.json,custom
40.403561,16.687862,ov_castello_di_bernalda_40.4036_16.6879,Castello di Bernalda,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/castello_di_bernalda_40.4036_16.6879.json,custom
