# lat,lng,id,name,building_type,type,url,page_type
# Andora -- Tutti
43.947492,8.139561,ov_bar_andora_beach_43.9475_8.1396,Bar Andora Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_andora_beach_43.9475_8.1396.json,custom
43.947492,8.139561,ov_the_beach_43.9475_8.1396,The Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/the_beach_43.9475_8.1396.json,custom
43.949901,8.141069,ov_agrirollo_43.9499_8.1411,Agrirollo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/agrirollo_43.9499_8.1411.json,custom
43.950105,8.141361,ov_bar_blue_s_note_43.9501_8.1414,Bar Blue's Note,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_blues_note_43.9501_8.1414.json,custom
43.948761,8.140528,ov_caff__torrengo_43.9488_8.1405,Caffè Torrengo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/caff_torrengo_43.9488_8.1405.json,custom
43.951830,8.152163,osm_singlefin_43.9518_8.1522,Singlefin,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/singlefin_43.9518_8.1522.json,custom
43.982673,8.130510,ov_palestra_pelli_43.9827_8.1305,Palestra Pelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/palestra_pelli_43.9827_8.1305.json,custom
43.960939,8.161933,ov_now_no_ordinary_wellness_asd_psc_43.9609_8.1619,NOW No Ordinary Wellness ASD PSC,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/now_no_ordinary_wellness_asd_psc_43.9609_8.1619.json,custom
43.952514,8.158595,ov_krill_43.9525_8.1586,Krill,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/krill_43.9525_8.1586.json,custom
43.952710,8.159300,ov_andorange_county_43.9527_8.1593,Andorange County,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/andorange_county_43.9527_8.1593.json,custom
43.951876,8.154182,ov_capo_mele_fishing_a_s_d__43.9519_8.1542,Capo Mele Fishing A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/capo_mele_fishing_asd_43.9519_8.1542.json,custom
43.950794,8.154605,ov_sport_7_diving_club_asd_43.9508_8.1546,Sport 7 Diving Club Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/sport_7_diving_club_asd_43.9508_8.1546.json,custom
43.951150,8.151100,ov_surfing_park_andora_43.9511_8.1511,Surfing Park Andora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/surfing_park_andora_43.9511_8.1511.json,custom
43.950718,8.151383,ov_cinghiale_marino_surf_club___school_43.9507_8.1514,Cinghiale Marino Surf Club & School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/cinghiale_marino_surf_club_school_43.9507_8.1514.json,custom
43.954821,8.150208,ov_liberitutti__centro_ricreativo_infanzia_43.9548_8.1502,LiberiTutti: centro ricreativo infanzia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/liberitutti_centro_ricreativo_infanzia_43.9548_8.1502.json,custom
43.957800,8.143306,ov_dctraining_andora_43.9578_8.1433,DCTraining Andora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/dctraining_andora_43.9578_8.1433.json,custom
43.951858,8.144170,ov_body_club_43.9519_8.1442,Body Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/body_club_43.9519_8.1442.json,custom
43.947341,8.139803,ov_bagni_kursaal_43.9473_8.1398,Bagni Kursaal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bagni_kursaal_43.9473_8.1398.json,custom
43.946921,8.140133,ov_functional_training_andora_43.9469_8.1401,Functional Training Andora,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/functional_training_andora_43.9469_8.1401.json,custom
43.966029,8.145264,ov_castello_di_andora_43.9660_8.1453,Castello di Andora,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/castello_di_andora_43.9660_8.1453.json,custom
43.949489,8.140999,ov_museo_mineralogico_luciano_dabroi_43.9495_8.1410,Museo Mineralogico Luciano Dabroi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/museo_mineralogico_luciano_dabroi_43.9495_8.1410.json,custom
43.949387,8.141179,ov_biblioteca_civica_di_andora_43.9494_8.1412,Biblioteca Civica di Andora,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/biblioteca_civica_di_andora_43.9494_8.1412.json,custom
43.949756,8.140998,ov_comune_di_andora___biblioteca_43.9498_8.1410,Comune di Andora - Biblioteca,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/comune_di_andora_-_biblioteca_43.9498_8.1410.json,custom
