# lat,lng,id,name,building_type,type,url,page_type
# Mezzolombardo -- Tutti
46.213226,11.089690,ov_ween_mezzolombardo_46.2132_11.0897,Ween Mezzolombardo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ween_mezzolombardo_46.2132_11.0897.json,custom
46.212568,11.088858,ov_spazio_dell_essere_46.2126_11.0889,Spazio dell'Essere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/spazio_dellessere_46.2126_11.0889.json,custom
46.213724,11.088554,ov_utopia_yoga_studio_46.2137_11.0886,UTOPIA Yoga Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/utopia_yoga_studio_46.2137_11.0886.json,custom
46.216813,11.086936,ov_asd_ginnastica_di_mezzo_46.2168_11.0869,ASD Ginnastica di Mezzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/asd_ginnastica_di_mezzo_46.2168_11.0869.json,custom
46.216700,11.083300,ov_ferrata_burrone_giovannelli_46.2167_11.0833,Ferrata Burrone Giovannelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ferrata_burrone_giovannelli_46.2167_11.0833.json,custom
46.192047,11.100789,ov_asd_bf_dance_studio_46.1920_11.1008,ASD BF Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/asd_bf_dance_studio_46.1920_11.1008.json,custom
46.217958,11.094188,osm_istituto_di_istruzione_martino_martini_46.2180_11.0942,Istituto di Istruzione Martino Martini,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/istituto_di_istruzione_martino_martini_46.2180_11.0942.json,custom
46.213532,11.087237,ov_castello_della_torre_46.2135_11.0872,Castello della Torre,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/castello_della_torre_46.2135_11.0872.json,custom
46.212695,11.093116,osm_mezzolombardo_46.2127_11.0931,Mezzolombardo,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/mezzolombardo_46.2127_11.0931.json,custom
46.213608,11.091797,ov_biblioteca_pubblica_comunale_di_mezzolom_46.2136_11.0918,Biblioteca pubblica comunale di Mezzolombardo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/biblioteca_pubblica_comunale_di_mezzolom_46.2136_11.0918.json,custom
46.214900,11.088830,ov_punto_lettura_di_sarnonico_46.2149_11.0888,Punto Lettura di Sarnonico,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/punto_lettura_di_sarnonico_46.2149_11.0888.json,custom
46.211155,11.091696,ov_biblioteca_mezzolombardo_46.2112_11.0917,Biblioteca Mezzolombardo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/biblioteca_mezzolombardo_46.2112_11.0917.json,custom
