# lat,lng,id,name,building_type,type,url,page_type
# Ciriè -- Tutti
45.234111,7.611297,ov_l_ecole_de_michelle_45.2341_7.6113,L'Ecole de Michelle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/lecole_de_michelle_45.2341_7.6113.json,custom
45.235949,7.602908,ov_pro_training_studio_45.2359_7.6029,Pro Training Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pro_training_studio_45.2359_7.6029.json,custom
45.234621,7.604723,ov_20__training_lab_45.2346_7.6047,20' Training Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/20_training_lab_45.2346_7.6047.json,custom
45.231488,7.603469,ov_scuola_comunale_di_danza_ciri__45.2315_7.6035,Scuola Comunale di Danza Ciriè,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/scuola_comunale_di_danza_ciri_45.2315_7.6035.json,custom
45.229274,7.606612,ov_pgs_c__r__piemonte_45.2293_7.6066,Pgs C. R. Piemonte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pgs_c_r_piemonte_45.2293_7.6066.json,custom
45.232424,7.607261,ov_turtle_scuba_diving_45.2324_7.6073,Turtle Scuba Diving,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/turtle_scuba_diving_45.2324_7.6073.json,custom
45.228182,7.607477,ov_ae_workout_revolution_45.2282_7.6075,AE Workout Revolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/ae_workout_revolution_45.2282_7.6075.json,custom
45.228060,7.606450,ov_artex2_0_asd_45.2281_7.6064,Artex2.0 asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/artex20_asd_45.2281_7.6064.json,custom
45.227903,7.604321,ov_scuola_di_ballo_paso_adelante_45.2279_7.6043,Scuola di Ballo Paso Adelante,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/scuola_di_ballo_paso_adelante_45.2279_7.6043.json,custom
45.226990,7.600312,ov_gym_club_45.2270_7.6003,Gym Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/gym_club_45.2270_7.6003.json,custom
