# lat,lng,id,name,building_type,type,url,page_type
# grado -- Tutti
45.701968,13.463939,ov_terrazza_mare_45.7020_13.4639,Terrazza Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/terrazza_mare_45.7020_13.4639.json,custom
45.680111,13.425135,osm_a_le_bronse_45.6801_13.4251,A Le Bronse,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/a_le_bronse_45.6801_13.4251.json,custom
45.677165,13.383470,osm_duca_d_aosta_45.6772_13.3835,Duca d'Aosta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/duca_daosta_45.6772_13.3835.json,custom
45.728387,13.536199,osm_caneo_bar_albergo_ristorante_45.7284_13.5362,Caneo Bar Albergo Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/caneo_bar_albergo_ristorante_45.7284_13.5362.json,custom
45.677069,13.384018,osm_de_toni_45.6771_13.3840,De Toni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/de_toni_45.6771_13.3840.json,custom
45.678137,13.387249,osm_pizza_jolly_45.6781_13.3872,Pizza Jolly,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/pizza_jolly_45.6781_13.3872.json,custom
45.677257,13.385219,osm_gardenia_45.6773_13.3852,Gardenia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/gardenia_45.6773_13.3852.json,custom
45.678834,13.401136,osm_il_negresco_45.6788_13.4011,Il Negresco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/il_negresco_45.6788_13.4011.json,custom
45.678178,13.383680,osm_alla_borsa_45.6782_13.3837,Alla Borsa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/alla_borsa_45.6782_13.3837.json,custom
45.677103,13.384854,osm_al_canevon_45.6771_13.3849,Al Canevon,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_canevon_45.6771_13.3849.json,custom
45.677424,13.386145,osm_romanorum_45.6774_13.3861,Romanorum,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/romanorum_45.6774_13.3861.json,custom
45.677377,13.383248,osm_al_portego_45.6774_13.3832,Al Portego,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_portego_45.6774_13.3832.json,custom
45.675679,13.385601,osm_trattoria_vittoria_45.6757_13.3856,Trattoria Vittoria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_vittoria_45.6757_13.3856.json,custom
