# lat,lng,id,name,building_type,type,url,page_type
# seveso -- Tutti
45.646906,9.170319,osm_bar_jin_45.6469_9.1703,Bar Jin,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_jin_45.6469_9.1703.json,custom
45.639949,9.162308,osm_da_luis_caf__45.6399_9.1623,da Luis Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/da_luis_caf_45.6399_9.1623.json,custom
45.646385,9.173469,osm_plaza_bar___lounge_45.6464_9.1735,Plaza bar & lounge,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/plaza_bar_lounge_45.6464_9.1735.json,custom
45.649657,9.143788,osm_the_brothers_45.6497_9.1438,The Brothers,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/the_brothers_45.6497_9.1438.json,custom
45.642245,9.145524,osm_bar_del_corso_45.6422_9.1455,Bar del Corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_del_corso_45.6422_9.1455.json,custom
45.640397,9.154929,osm_bar_barazzetta_45.6404_9.1549,Bar Barazzetta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_barazzetta_45.6404_9.1549.json,custom
45.644755,9.143873,osm_bar_jolly_45.6448_9.1439,Bar Jolly,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_jolly_45.6448_9.1439.json,custom
45.638153,9.169839,osm_civico_20_45.6382_9.1698,Civico 20,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/civico_20_45.6382_9.1698.json,custom
45.650362,9.139442,ov_m_ama_dance_academy_45.6504_9.1394,M'Ama Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/mama_dance_academy_45.6504_9.1394.json,custom
45.644520,9.159540,ov_new_track_baruccana_offroad_45.6445_9.1595,New Track Baruccana offroad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/new_track_baruccana_offroad_45.6445_9.1595.json,custom
45.642859,9.152496,ov_ginnastica_sampietrina_seveso_45.6429_9.1525,Ginnastica Sampietrina Seveso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/ginnastica_sampietrina_seveso_45.6429_9.1525.json,custom
45.643360,9.149240,ov_bocciodromo_di_seveso_mb_45.6434_9.1492,Bocciodromo di Seveso MB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bocciodromo_di_seveso_mb_45.6434_9.1492.json,custom
45.636907,9.143334,ov_crossfit_no_days_off_seveso_45.6369_9.1433,Crossfit No Days Off Seveso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/crossfit_no_days_off_seveso_45.6369_9.1433.json,custom
45.636929,9.143317,ov_fitactive_seveso_45.6369_9.1433,FitActive Seveso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/fitactive_seveso_45.6369_9.1433.json,custom
45.637720,9.143299,ov_ballet_studio_asd_45.6377_9.1433,Ballet Studio ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/ballet_studio_asd_45.6377_9.1433.json,custom
45.639853,9.114565,ov_dokayoga_45.6399_9.1146,DOKAYOGA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/dokayoga_45.6399_9.1146.json,custom
45.636997,9.143239,osm_fitactive_45.6370_9.1432,Fitactive,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/fitactive_45.6370_9.1432.json,custom
45.644477,9.137587,osm_seveso_45.6445_9.1376,Seveso,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/seveso_45.6445_9.1376.json,custom
45.639353,9.165252,osm_poste_italiane_45.6394_9.1653,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/poste_italiane_45.6394_9.1653.json,custom
45.643602,9.136149,ov_municipio_di_seveso_biblioteca_civica_45.6436_9.1361,Municipio di Seveso Biblioteca Civica,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/municipio_di_seveso_biblioteca_civica_45.6436_9.1361.json,custom
45.643579,9.135876,osm_villa_del_sole___biblioteca_comunale_di__45.6436_9.1359,Villa del Sole - Biblioteca comunale di Seveso,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/villa_del_sole_-_biblioteca_comunale_di__45.6436_9.1359.json,custom
