# lat,lng,id,name,building_type,type,url,page_type
# Ciampino -- Tutti
41.804593,12.601452,osm_alice_41.8046_12.6015,Alice,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/alice_41.8046_12.6015.json,custom
41.811645,12.593424,osm_ishin_41.8116_12.5934,Ishin,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ishin_41.8116_12.5934.json,custom
41.806681,12.595122,osm_mi_dica_41.8067_12.5951,Mi dica,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mi_dica_41.8067_12.5951.json,custom
41.805965,12.594440,osm_bbq_pork_41.8060_12.5944,Bbq Pork,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bbq_pork_41.8060_12.5944.json,custom
41.789364,12.594805,ov_chef_express_41.7894_12.5948,Chef Express,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/chef_express_41.7894_12.5948.json,custom
41.799543,12.590743,ov_caio_41.7995_12.5907,Caio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/caio_41.7995_12.5907.json,custom
41.810484,12.592530,ov_bar_jolly_41.8105_12.5925,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_jolly_41.8105_12.5925.json,custom
41.810972,12.594653,ov_caffe_deco_41.8110_12.5947,Caffe deco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/caffe_deco_41.8110_12.5947.json,custom
41.809350,12.593453,ov_pan_pizza_caffe_la_spiga_41.8093_12.5935,Pan Pizza Caffe La Spiga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pan_pizza_caffe_la_spiga_41.8093_12.5935.json,custom
41.808847,12.596638,ov_bar_sottovoce_41.8088_12.5966,Bar Sottovoce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bar_sottovoce_41.8088_12.5966.json,custom
