# lat,lng,id,name,building_type,type,url,page_type
# impruneta -- Tutti
43.684507,11.257449,osm_caff__incontro_43.6845_11.2574,Caffé Incontro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/caff_incontro_43.6845_11.2574.json,custom
43.694369,11.220956,ov_circolo_arci_bagnolo_43.6944_11.2210,Circolo ARCI Bagnolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/circolo_arci_bagnolo_43.6944_11.2210.json,custom
43.682295,11.254565,ov_tarax_asd_43.6823_11.2546,Tarax Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/tarax_asd_43.6823_11.2546.json,custom
43.684474,11.252354,ov_imago_lab_43.6845_11.2524,Imago-Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/imago-lab_43.6845_11.2524.json,custom
43.684312,11.258837,ov_societ__corale_di_impruneta_aps_43.6843_11.2588,Società Corale di Impruneta APS,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/societ_corale_di_impruneta_aps_43.6843_11.2588.json,custom
43.700520,11.276370,ov_asd_centro_equitazione_colline_43.7005_11.2764,ASD Centro Equitazione Colline,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/asd_centro_equitazione_colline_43.7005_11.2764.json,custom
43.664799,11.268948,ov_la_cipressaia_centro_equestre_43.6648_11.2689,la Cipressaia centro equestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/la_cipressaia_centro_equestre_43.6648_11.2689.json,custom
43.709284,11.213679,ov_il_capezzone_43.7093_11.2137,Il capezzone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/il_capezzone_43.7093_11.2137.json,custom
43.709418,11.217850,ov_asd_le_sfere_43.7094_11.2179,Asd Le Sfere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/asd_le_sfere_43.7094_11.2179.json,custom
43.709486,11.217707,ov_arcoballando_43.7095_11.2177,Arcoballando,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/arcoballando_43.7095_11.2177.json,custom
43.711870,11.216721,ov_zodiac_palestre_43.7119_11.2167,Zodiac Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/zodiac_palestre_43.7119_11.2167.json,custom
43.739087,11.290689,ov_asd__kami_43.7391_11.2907,ASD Ōkami,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/asd_kami_43.7391_11.2907.json,custom
43.718807,11.225523,ov_yogananda_srf_italia_43.7188_11.2255,Yogananda-SRF-Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/yogananda-srf-italia_43.7188_11.2255.json,custom
43.675061,11.253489,ov_castello_di_cafaggio_43.6751_11.2535,Castello di Cafaggio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/castello_di_cafaggio_43.6751_11.2535.json,custom
43.685265,11.253936,ov_biblioteca_comunale_di_impruneta_43.6853_11.2539,Biblioteca Comunale Di Impruneta,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/biblioteca_comunale_di_impruneta_43.6853_11.2539.json,custom
43.685139,11.254046,osm_biblioteca_comunale_impruneta_43.6851_11.2540,Biblioteca comunale Impruneta,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/biblioteca_comunale_impruneta_43.6851_11.2540.json,custom
44.913563,9.476817,ov_circolo_sms_mezzomonte_44.9136_9.4768,Circolo SMS Mezzomonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/impruneta/pages/circolo_sms_mezzomonte_44.9136_9.4768.json,custom
