# lat,lng,id,name,building_type,type,url,page_type
# ponza -- Tutti
40.894814,12.966393,ov_bar_l_incontro_40.8948_12.9664,Bar l'Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/bar_lincontro_40.8948_12.9664.json,custom
40.894849,12.966733,ov_lincontro_cafe_40.8948_12.9667,Lincontro Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/lincontro_cafe_40.8948_12.9667.json,custom
40.921776,12.966566,ov_garden_bar_della_salute_40.9218_12.9666,Garden Bar della Salute,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/garden_bar_della_salute_40.9218_12.9666.json,custom
40.921655,12.966696,ov_tartaruga_bar_40.9217_12.9667,Tartaruga Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/tartaruga_bar_40.9217_12.9667.json,custom
40.926336,12.970548,ov_il_falco_ponza_piscine_naturali_40.9263_12.9705,Il Falco Ponza Piscine Naturali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/il_falco_ponza_piscine_naturali_40.9263_12.9705.json,custom
40.921632,12.966703,osm_bar_pizzeria_tartaruga_40.9216_12.9667,Bar/Pizzeria Tartaruga,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/barpizzeria_tartaruga_40.9216_12.9667.json,custom
40.920010,12.958349,ov_ponza_wild_sup_40.9200_12.9583,Ponza Wild SUP,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ponza_wild_sup_40.9200_12.9583.json,custom
40.897961,12.956589,ov_asd_acquamarina_40.8980_12.9566,Asd Acquamarina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/asd_acquamarina_40.8980_12.9566.json,custom
40.894370,12.965377,ov_ponza_diving_40.8944_12.9654,Ponza Diving,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ponza_diving_40.8944_12.9654.json,custom
40.930822,12.982533,ov_cala_caparra___ponza__le_forna_40.9308_12.9825,"Cala Caparra - Ponza, Le Forna",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/cala_caparra_-_ponza_le_forna_40.9308_12.9825.json,custom
40.908291,12.961991,ov_cala_frontone_museo_etnografico_40.9083_12.9620,Cala Frontone-Museo Etnografico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/cala_frontone-museo_etnografico_40.9083_12.9620.json,custom
