# lat,lng,id,name,building_type,type,url,page_type
# Mentana -- Tutti
42.032504,12.645240,ov_hatha_yoga_al_conventino_42.0325_12.6452,Hatha yoga al Conventino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/hatha_yoga_al_conventino_42.0325_12.6452.json,custom
42.034474,12.645151,ov_centro_italia_korse_42.0345_12.6452,Centro Italia Korse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/centro_italia_korse_42.0345_12.6452.json,custom
42.034220,12.645890,ov_melaverde_village_42.0342_12.6459,Melaverde Village,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/melaverde_village_42.0342_12.6459.json,custom
42.036029,12.645155,ov_asd_mentana_ciclismo_42.0360_12.6452,ASD Mentana Ciclismo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/asd_mentana_ciclismo_42.0360_12.6452.json,custom
42.037012,12.641227,ov_mentana_by_night_42.0370_12.6412,Mentana by Night,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/mentana_by_night_42.0370_12.6412.json,custom
42.034980,12.637680,ov_avamposto_garibaldino_42.0350_12.6377,Avamposto Garibaldino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/avamposto_garibaldino_42.0350_12.6377.json,custom
42.038649,12.638522,ov_palaspes_42.0386_12.6385,Palaspes,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/palaspes_42.0386_12.6385.json,custom
42.040773,12.640295,ov_boxe_diori_42.0408_12.6403,Boxe Diori,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/boxe_diori_42.0408_12.6403.json,custom
42.045205,12.635934,ov_riding_club_mentana_42.0452_12.6359,Riding Club Mentana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/riding_club_mentana_42.0452_12.6359.json,custom
42.040560,12.644530,ov_legio_s_team_energym_mentana_42.0406_12.6445,Legio's Team Energym Mentana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/legios_team_energym_mentana_42.0406_12.6445.json,custom
42.040275,12.644571,ov_fitness_energym_42.0403_12.6446,Fitness Energym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/fitness_energym_42.0403_12.6446.json,custom
42.040376,12.644680,ov_8_time_studio_42.0404_12.6447,8 Time Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/8_time_studio_42.0404_12.6447.json,custom
