# lat,lng,id,name,building_type,type,url,page_type
# santa_margherita_ligure -- Tutti
44.320476,9.212899,ov_covo_beef_bar_44.3205_9.2129,Covo Beef Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/covo_beef_bar_44.3205_9.2129.json,custom
44.317470,9.211610,ov_ristorante_capo_nord_santa_margherita_li_44.3175_9.2116,Ristorante Capo Nord Santa Margherita Ligure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_capo_nord_santa_margherita_li_44.3175_9.2116.json,custom
44.341184,9.248634,ov_capo_nord_44.3412_9.2486,Capo nord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/capo_nord_44.3412_9.2486.json,custom
44.330351,9.212562,osm_caff__del_porto_44.3304_9.2126,Caffè del Porto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/caff_del_porto_44.3304_9.2126.json,custom
44.314618,9.212605,osm_capo_nord_44.3146_9.2126,Capo Nord,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/capo_nord_44.3146_9.2126.json,custom
44.330445,9.212512,osm_beppe_achilli_44.3304_9.2125,Beppe Achilli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/beppe_achilli_44.3304_9.2125.json,custom
44.311245,9.208621,osm_hotel_argentina_44.3112_9.2086,Hotel Argentina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/hotel_argentina_44.3112_9.2086.json,custom
44.335938,9.215165,ov_il_fiocco_44.3359_9.2152,Il Fiocco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/il_fiocco_44.3359_9.2152.json,custom
44.335833,9.216067,ov_la_terrasse_bar_44.3358_9.2161,La Terrasse Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/la_terrasse_bar_44.3358_9.2161.json,custom
44.335412,9.213464,ov_bar_papiluc_44.3354_9.2135,Bar Papiluc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/bar_papiluc_44.3354_9.2135.json,custom
